Avatar,Name,Type,Attribut,Weapon,Weapon Power,Weapon Substat,Weapon Effect,Artefact 1,Artefact 1 Effect,Artefact 2,Artefact 2 Effect,Artefact 3,Artefact 3 Effect
rufus,Rufus,Long Range,Magical,rufus_weapon,675,Critical power : 26,Recover 100% of shield for all allies at the WAVE beginning,rufus_artefact1,Normal attack's power increase by 30%. 50% chance to remove 10% of enemy's shield,rufus_artefact2,Skill attack's power increase by 50%,rufus_artefact3,Special attack's power increase by 30%. Remove 1 enemy's shield
elvis,Elvis,Long Range,Magical,elvis_weapon,675,Critical power : 26,Recover up to 25% of your MP at your turn,elvis_artefact1,Normal attack's power increase by 50%,elvis_artefact2,Increase Skill's power by 30%. 50% chance to inflict Evasion reduction for 4 turns,elvis_artefact3,Special attack's power increase by 50%
ringabel,Ringabel,Long Range,Physical,ringabel_weapon,675,Critical power : 26,Grants permanent 10% attack power increase at the beginning of your turn. Maximum 50%,ringabel_artefact1,Normal attack's power increase by 30%. 50% chance to remove 10% of enemy's shield,ringabel_artefact2,Skill attack's power increase by 50%,ringabel_artefact3,Gain 1 BP when the enemy is KO by the special attack
victoria,Victoria,Long Range,Magical,victoria_weapon,675,Critical power : 26,Grants permanent 10% attack power increase at the beginning of your turn. Maximum 50%,victoria_artefact1,60% chance to gain Ritual Lv1,victoria_artefact2,Increase Skill's power by 30%. 50% chance to gain additional Ritual Lv1,victoria_artefact3,Special attack's power increase by 30%. 50% chance to recover up to 10% of MP
anihal,Anihal,Long Range,Physical,anihal_weapon,675,Critical power : 26,Attack a random enemy at the beginning of your turn (power 125),anihal_artefact1,Normal attack's power increase by 30%. 20% chance to grant MP consumption reduction for 3 turns,anihal_artefact2,Increase Skill's power by 30%. Reduce 10% of enemy's power,anihal_artefact3,Special attack's power increase by 50%
claire,Claire,Support,Physical,claire_weapon,525,MP Recovery : 20%,Recover MP up to 10% for all allies at the start of your turn,claire_artefact1,Normal healing power increase by 30%. 50% chance to increase target's power by 10%,claire_artefact2,Reduce Skill cost by 15 MP,claire_artefact3,Special attack's power increase by 30%. Increase MP recovery of special by an additional 10%
gloria,Gloria,Support,Physical,gloria_weapon,525,MP Recovery : 20%,Recover Shield up to 25% for all allies at the start of your turn,gloria_artefact1,Normal healing power increase by 30%. 30% chance to recover 10% of MP for the target,gloria_artefact2,Increase Skill's power by 30%. 35% chance to recover 10% of Shield for all allies,gloria_artefact3,Special healing power increase by 50%
agnes,Agnes,Support,Magical,agnes_weapon,525,MP Recovery : 20%,Recover HP up to 15% for all allies at the start of your turn,agnes_artefact1,Normal healing power increase by 30%. 50% chance to recover 1 Shield for the target,agnes_artefact2,Skill healing power increase by 50%,agnes_artefact3,Cancel buffs for all enemie's
nikolai,Nikolai,Support,Magical,nikolai_weapon,525,MP Recovery : 20%,Ally with the less HP recover up to 30% HP at the start of your turn,nikolai_artefact1,Normal attack's power increase by 30%. 50% chance to recover 1 Shield for the target,nikolai_artefact2,Skill healing power increase by 50%,nikolai_artefact3,Special healing power increase by 50%
selene,Selene,Support,Magical,selene_weapon,525,MP Recovery : 20%,25% chance to give 1 BP to an ally when the turn start,selene_artefact1,Normal attack's power increase by 30%. 20% chance to remove a random debuff to the target,selene_artefact2,Increase Skill's power by 30%. Increase target's power by 20%,selene_artefact3,Special attack's power increase by 30%. Give Speed increase to the front row of allies for 4 turns
